word_id,word_text,list_id,category_id
1,丟,1,1
2,然,1,1
3,所,1,1
4,平,1,1
5,此,1,1
6,仔,1,1
7,檢,1,1
8,查,1,1
9,尺,1,1
10,助,1,1
11,已,1,1
12,經,1,1
13,鉛筆,1,2
14,橡皮擦,1,2
15,當然,1,2
16,所以,1,2
17,每天,1,2
18,趕緊,1,2
19,怎麽,1,2
20,平安,1,2
21,文具盒,1,2
22,從此,1,2
23,仔細,1,2
24,檢查,1,2
25,尺子,1,2
26,所有,1,2
27,助手,1,2
28,已經,1,2
29,鐘,2,1
30,哈,2,1
31,等,2,1
32,字,2,1
33,公,2,1
34,共,2,1
35,汽,2,1
36,決,2,1
37,低,2,1
38,座,2,1
39,位,2,1
40,非,2,1
41,鬧鐘,2,2
42,哈欠,2,2
43,心想,2,2
44,遲到,2,2
45,起來,2,2
46,過去,2,2
47,公共汽車,2,2
48,影子,2,2
49,決定,2,2
50,上課,2,2
51,座位,2,2
52,手錶,2,2
53,非常,2,2
54,後悔,2,2
55,讀,3,1
56,教,3,1
57,室,3,1
58,班,3,1
59,聲,3,1
60,音,3,1
61,互,3,1
62,相,3,1
63,課,3,1
64,間,3,1
65,熱,3,1
66,情,3,1
67,讀書,3,2
68,陌生,3,2
69,教室,3,2
70,全班,3,2
71,友善,3,2
72,聲音,3,2
73,以後,3,2
74,互相,3,2
75,幫助,3,2
76,真誠,3,2
77,下課,3,2
78,包圍,3,2
79,作業,3,2
80,洗手間,3,2
81,清楚,3,2
82,友好,3,2
83,熱情,3,2
